Designator,Mid X,Mid Y,Rotation,Layer
C1,233.365,-36.08375,0.0,bottom
C2,241.875,-35.03375,90.0,bottom
C3,244.345,-41.26625,180.0,bottom
C4,233.975,-44.15625,0.0,bottom
C5,231.285,-40.30625,90.0,bottom
C6,220.289375,-40.46625,270.0,bottom
C7,226.2425,-40.3,90.0,bottom
C8,243.83625,-36.07625,180.0,bottom
C9,248.195,-40.76625,270.0,bottom
D1,35.56,-31.670625,90.0,bottom
D10,207.01,-31.670625,90.0,bottom
D11,226.06,-31.670625,90.0,bottom
D12,252.25375,-31.670625,90.0,bottom
D13,37.94125,-50.720625,90.0,bottom
D14,59.3725,-50.720625,90.0,bottom
D15,78.4225,-50.720625,90.0,bottom
D16,97.4725,-50.720625,90.0,bottom
D17,116.5225,-50.720625,90.0,bottom
D18,135.5725,-50.720625,90.0,bottom
D19,154.6225,-50.720625,90.0,bottom
D2,54.61,-31.670625,90.0,bottom
D20,173.6725,-50.720625,90.0,bottom
D21,192.7225,-50.720625,90.0,bottom
D22,211.7725,-50.720625,90.0,bottom
D23,230.8225,-50.720625,90.0,bottom
D24,254.635,-50.720625,90.0,bottom
D25,42.70375,-69.770625,90.0,bottom
D26,68.8975,-69.770625,90.0,bottom
D27,87.9475,-69.770625,90.0,bottom
D28,106.9975,-69.770625,90.0,bottom
D29,126.0475,-69.770625,90.0,bottom
D3,73.66,-31.670625,90.0,bottom
D30,145.0975,-69.770625,90.0,bottom
D31,164.1475,-69.770625,90.0,bottom
D32,183.1975,-69.770625,90.0,bottom
D33,202.2475,-69.770625,90.0,bottom
D34,221.2975,-69.770625,90.0,bottom
D35,240.3475,-69.770625,90.0,bottom
D36,259.3975,-69.770625,90.0,bottom
D37,35.56,-88.820625,90.0,bottom
D38,60.563125,-88.820625,90.0,bottom
D39,78.4225,-88.820625,90.0,bottom
D4,92.71,-31.670625,90.0,bottom
D40,142.71625,-88.820625,90.0,bottom
D41,221.2975,-88.820625,90.0,bottom
D42,240.3475,-88.820625,90.0,bottom
D43,259.3975,-88.820625,90.0,bottom
D46,120.094375,-88.820625,90.0,bottom
D47,161.76625,-88.820625,90.0,bottom
D48,192.7225,-88.820625,90.0,bottom
D5,111.76,-31.670625,90.0,bottom
D6,130.81,-31.670625,90.0,bottom
D7,149.86,-31.670625,90.0,bottom
D8,168.91,-31.670625,90.0,bottom
D9,187.96,-31.670625,90.0,bottom
J1,214.16,-37.420625,90.0,bottom
J2,236.135,-24.08625,270.0,top
R1,260.875,-34.09625,90.0,bottom
SW1,257.445,-37.41625,270.0,bottom
SW2,251.635,-37.41625,270.0,bottom
U1,238.1625,-39.79625,270.0,bottom
U2,223.0675,-39.98625,180.0,bottom
